('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 12358
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 12240
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 20715
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2')) 20748
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-2', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10171
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-2', 'buscode3'), (0, 'strategy_name-3', 'buscode1')) 10215
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1')) 12417
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2')) 10766
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 20985
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1')) 10200
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10099
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 12669
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2')) 12490
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-2', 'buscode2'), (0, 'strategy_name-3', 'buscode1')) 10249
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2')) 12856
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-2', 'buscode2'), (0, 'strategy_name-3', 'buscode3')) 10388
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3')) 10337
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-2', 'buscode3'), (0, 'strategy_name-3', 'buscode2')) 10419
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3')) 12065
